,features,Random Forest feature importances,XGBoost feature importances,LightGBM feature importances,Gradient Boost feature importances,AverageModel,StackAverageModel
55,title_svd_7_10,0.01959675541673857,0.024318325436661202,0.3282442748091603,0.0026081417258510837,0.0936918743471028,0.14297895222975116
56,release_svd_3_10,0.02034457543710823,0.035847464879266204,0.32061068702290074,0.005258472960277802,0.09551530007488825,0.14317422789614484
57,release.name_neg,0.002071150856368129,0.02283709603771785,0.07633587786259542,0.0020054773761992023,0.02581240053322015,0.03686567365283145
58,title_svd_4_10,0.019325931924978623,0.029420637278319266,0.23664122137404578,0.001878673021012791,0.07181661589958911,0.10760968232957314
59,title_svd_8_10,0.024254931359619175,0.0322314132244942,0.4198473282442748,0.007816460906629585,0.12103753343375444,0.1831456666458485
60,release_svd_6_10,0.01781300827140902,0.026244525831413828,0.29770992366412213,0.0032811058101558013,0.08626214089427518,0.13078298364139274
61,key,0.015091539033503654,0.0,0.23664122137404578,0.0004895414042540849,0.06305557545295089,0.09891831234390652
62,release_svd_4_10,0.02784688052825873,0.040436570419075585,0.3893129770992366,0.008669577487504486,0.11656650138351886,0.17414315578247225
63,release_svd_8_10,0.022706414775651294,0.06870132722655081,0.40458015267175573,0.001695174285488526,0.1244207672398616,0.1853893260558061
64,artist_firstname,0.02024638207815463,0.04044780677784833,0.4351145038167939,0.0068597045113289335,0.12566709929603145,0.19003135518826683
65,title_neg,0.0032058852481156213,0.03650082397833208,0.03816793893129771,0.000745923180736493,0.019655142834620477,0.025336424824252017
66,release_svd_10_10,0.02477166925646375,0.0356861520045664,0.4427480916030534,0.007826592898022575,0.12775812644052653,0.19329559036226027
67,year_1920,0.0,0.0,0.0,0.0,0.0,0.0
68,year_1930,0.0,0.0,0.0,0.0,0.0,0.0
69,year_1940,0.00011763373723789191,0.0,0.0,0.0,2.940843430947298e-05,3.536549143346598e-05
70,year_1950,0.00032035993428584827,0.0,0.0,0.0,8.008998357146207e-05,9.63132412319754e-05
71,year_1960,0.0010017413086994048,0.034158938246890196,0.08396946564885496,0.004918126666063898,0.031012067967627115,0.04256369360846233
72,year_1970,0.0025236792502421846,0.06708385098369765,0.15267175572519084,0.017011060987746816,0.05982258673671938,0.07925316201620566
73,year_1980,0.007046705304257258,0.06900691462822389,0.16793893129770993,0.016951740778980578,0.06523607300229292,0.08717772630104602
74,year_1990,0.003202249230170554,0.06376232818760313,0.11450381679389313,0.008828551079837509,0.047574236322876086,0.06299253021348952
75,year_2000,0.0036821675766045836,0.05010541718442359,0.12213740458015267,0.008149048777774951,0.046018509529738946,0.06273524411127077
76,year_2010,0.0026070069866534875,0.0,0.030534351145038167,0.000750237968572515,0.008472899025066042,0.012996949619126511
